program	loci
Bayescan	cp_152_TRINITY_DN115646_c10_g2_i2 
Bayescan	cp_236_TRINITY_DN107499_c4_g3_i1
Bayescan	cp_476_TRINITY_DN117780_c8_g2_i2 
Bayescan	cp_600_TRINITY_DN104219_c9_g2_i5
Bayescan	cp_1060_TRINITY_DN119732_c2_g1_i1 
Bayescan	cp_1187_TRINITY_DN111823_c5_g4_i1 
Bayescan	cp_1204_TRINITY_DN111506_c0_g1_i1 
Bayescan	cp_1755_TRINITY_DN117397_c5_g1_i6 
Bayescan	cp_3044_TRINITY_DN106563_c0_g1_i4 
Bayescan	cp_3398_TRINITY_DN118176_c5_g1_i4 
Bayescan	cp_3574_TRINITY_DN110652_c3_g2_i3 
Bayescan	cp_5990_TRINITY_DN112009_c2_g2_i1
OutFLANK	cp_152_TRINITY_DN115646_c10_g2_i2
OutFLANK	cp_236_TRINITY_DN107499_c4_g3_i1
OutFLANK	cp_254_TRINITY_DN110114_c5_g3_i18  
OutFLANK	cp_472_TRINITY_DN112300_c2_g1_i2  
OutFLANK	cp_504_TRINITY_DN119002_c5_g1_i1   
OutFLANK	cp_591_TRINITY_DN119887_c10_g1_i3 
OutFLANK	cp_1060_TRINITY_DN119732_c2_g1_i1  
OutFLANK	cp_1192_TRINITY_DN119643_c1_g1_i8 
OutFLANK	cp_1204_TRINITY_DN112142_c1_g4_i2  
OutFLANK	cp_1289_TRINITY_DN104894_c8_g1_i4 
OutFLANK	cp_1308_TRINITY_DN119305_c6_g3_i1  
OutFLANK	cp_1755_TRINITY_DN117397_c5_g1_i6 
OutFLANK	cp_2427_TRINITY_DN119509_c0_g2_i1  
OutFLANK	cp_2662_TRINITY_DN112988_c11_g1_i1
OutFLANK	cp_2755_TRINITY_DN119835_c1_g1_i1  
OutFLANK	cp_3044_TRINITY_DN106563_c0_g1_i4
OutFLANK	cp_3398_TRINITY_DN118176_c5_g1_i4  
OutFLANK	cp_3574_TRINITY_DN110652_c3_g2_i3 
OutFLANK	cp_5990_TRINITY_DN112009_c2_g2_i1 
pcadapt	cp_152_TRINITY_DN115646_c10_g2_i2
pcadapt	cp_236_TRINITY_DN107499_c4_g3_i1
pcadapt	cp_476_TRINITY_DN117780_c8_g2_i2
pcadapt	cp_507_TRINITY_DN112257_c2_g1_i2
pcadapt	cp_600_TRINITY_DN104219_c9_g2_i5
pcadapt	cp_626_TRINITY_DN108686_c7_g1_i4
pcadapt	cp_1060_TRINITY_DN119732_c2_g1_i1
pcadapt	cp_1187_TRINITY_DN111823_c5_g4_i1
pcadapt	cp_1204_TRINITY_DN111506_c0_g1_i1
pcadapt	cp_1269_TRINITY_DN118974_c5_g2_i1
pcadapt	cp_1289_TRINITY_DN104894_c8_g1_i4
pcadapt	cp_1755_TRINITY_DN117397_c5_g1_i6
pcadapt	cp_3044_TRINITY_DN106563_c0_g1_i4
pcadapt	cp_3398_TRINITY_DN118176_c5_g1_i4
pcadapt	cp_3574_TRINITY_DN110652_c3_g2_i3
pcadapt	cp_5990_TRINITY_DN112009_c2_g2_i1
pcadapt	cp_558_TRINITY_DN119353_c7_g2_i11
pcadapt	cp_1397_TRINITY_DN107317_c8_g1_i7
pcadapt	cp_2427_TRINITY_DN119509_c0_g2_i1
